                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9815,                 1.4773,                 1.0019,                0.47946,                0.22015,                   0.17,                0.06273,                 2.5289,                 2.1509,                 1.1402,              0.0010996,              0.0010996,              0.0010996
                     36,                 1.5188,                 1.4054,                 0.7215,                0.46664,                0.31764,                0.24543,                0.08323,                 2.1805,                 2.1847,                 1.0534,              0.0010911,              0.0010911,              0.0010911
                     37,                 1.9116,                 1.3977,                0.93971,                0.44765,                0.30414,                0.21318,                0.07507,                 2.1378,                 6.3528,                 1.0533,              0.0010823,              0.0010823,              0.0010823
                     38,                 1.9182,                 1.5989,                 1.0019,                0.46662,                0.27278,                0.21798,                0.07664,                 2.1107,                 6.2344,                   1.04,              0.0010733,              0.0010733,              0.0010733
                     39,                 1.9499,                 1.4435,                0.95262,                0.47765,                0.32922,                0.26375,                 0.0855,                 2.1198,                 1.8844,                 1.0089,              0.0010642,              0.0010642,              0.0010642
                     40,                 1.7927,                 1.4028,                 0.9282,                0.51119,                0.32908,                 0.2362,                 0.0813,                 2.1594,                 1.9174,                 1.0122,              0.0010548,              0.0010548,              0.0010548
                     41,                 1.7592,                 1.3969,                0.94677,                0.51315,                0.38903,                0.31186,                 0.1185,                  2.009,                 1.6976,                 1.0067,              0.0010453,              0.0010453,              0.0010453
                     42,                 1.7708,                 1.3262,                0.93142,                0.54364,                0.38292,                0.30464,                0.11527,                 2.0445,                 1.7669,                 1.0081,              0.0010356,              0.0010356,              0.0010356
                     43,                 1.8434,                 1.2887,                  0.946,                0.51175,                0.38107,                0.27458,                0.09275,                 2.1418,                 1.9392,                 1.0202,              0.0010257,              0.0010257,              0.0010257
                     44,                 1.8612,                 1.2698,                0.94845,                0.47718,                0.38971,                0.25698,                0.09242,                 2.1077,                 1.8838,                 1.0153,              0.0010156,              0.0010156,              0.0010156
                     45,                  1.914,                  1.358,                0.94483,                0.51409,                0.33174,                0.25716,                0.10001,                 2.0111,                  1.695,                  1.004,              0.0010053,              0.0010053,              0.0010053
                     46,                 1.7672,                   1.72,                0.93746,                0.54004,                0.29726,                0.24055,                0.09213,                 2.0468,                 1.8651,                 1.0101,             0.00099494,             0.00099494,             0.00099494
                     47,                 1.9661,                 1.6906,                0.97403,                0.49435,                0.31508,                0.22144,                0.08055,                  2.205,                 1.9871,                 1.0269,             0.00098438,             0.00098438,             0.00098438
                     48,                 1.7172,                 1.1954,                 0.8981,                0.49628,                0.39843,                0.29996,                0.11478,                 2.0365,                 1.5779,                  1.002,             0.00097366,             0.00097366,             0.00097366
                     49,                 1.9685,                 1.3486,                0.90856,                0.51179,                0.40959,                0.33806,                0.13517,                 1.9858,                 1.4471,                 1.0055,             0.00096279,             0.00096279,             0.00096279
                     50,                 1.3334,                 1.1916,                0.70871,                0.52866,                0.43516,                 0.3629,                0.14482,                 1.9663,                  1.499,                 0.9983,             0.00095178,             0.00095178,             0.00095178
                     51,                 1.8127,                 1.3104,                0.91752,                0.60659,                0.33214,                0.34473,                0.13833,                  1.989,                 1.5442,                0.99916,             0.00094062,             0.00094062,             0.00094062
                     52,                 1.7951,                 1.3071,                 0.8991,                 0.5449,                 0.4159,                0.36784,                0.12545,                 2.0083,                 1.5652,                 1.0021,             0.00092934,             0.00092934,             0.00092934
                     53,                 1.8423,                 1.2026,                0.92722,                0.53571,                0.43158,                0.37822,                0.13588,                 2.0327,                 1.5166,                 1.0145,             0.00091791,             0.00091791,             0.00091791
                     54,                 1.7044,                 1.2983,                0.92816,                0.59332,                 0.4687,                0.41066,                0.16562,                 1.9937,                 1.5776,                0.99682,             0.00090637,             0.00090637,             0.00090637
                     55,                 1.2923,                 1.2571,                0.69823,                0.80119,                0.29552,                0.38793,                0.15576,                 1.9781,                  1.512,                0.99561,              0.0008947,              0.0008947,              0.0008947
