                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9379,                  1.452,                  0.965,                 0.2779,                0.09135,                0.01489,                0.00511,                 2.9195,                 3.5722,                 1.2416,             0.00087971,             0.00087971,             0.00087971
                     36,                 1.9475,                 1.4152,                0.98331,                0.28088,                0.08082,                 0.0168,                0.00579,                 2.8952,                 3.4124,                 1.2245,             0.00087286,             0.00087286,             0.00087286
                     37,                 1.9477,                 1.4036,                0.97229,                0.27573,                 0.0604,                0.01711,                0.00593,                 2.9325,                 3.4513,                 1.2224,             0.00086584,             0.00086584,             0.00086584
                     38,                 1.9424,                 1.4603,                0.97359,                0.27957,                0.07156,                0.01878,                0.00663,                 2.9383,                 3.4095,                 1.2365,             0.00085866,             0.00085866,             0.00085866
                     39,                 1.8612,                 1.3369,                0.93771,                0.27594,                0.06893,                0.01993,                0.00703,                 2.9204,                 3.3249,                 1.2311,             0.00085133,             0.00085133,             0.00085133
                     40,                 1.9385,                 1.4388,                0.97045,                0.27827,                0.08346,                0.02159,                0.00704,                 2.9223,                 3.2286,                 1.2265,             0.00084385,             0.00084385,             0.00084385
                     41,                 1.9109,                 1.3523,                0.95099,                0.27824,                0.08082,                0.02032,                0.00628,                  2.877,                  3.179,                 1.2077,             0.00083622,             0.00083622,             0.00083622
                     42,                   1.87,                 1.3959,                0.94262,                0.27922,                0.10556,                0.01943,                0.00595,                 2.8737,                 3.1504,                    1.2,             0.00082844,             0.00082844,             0.00082844
                     43,                 1.8366,                 1.3449,                0.93749,                0.28366,                0.10755,                0.01921,                0.00568,                 2.8527,                 3.2365,                 1.2017,             0.00082052,             0.00082052,             0.00082052
                     44,                 1.9011,                 1.3746,                 0.9854,                0.28519,                0.10061,                0.02116,                0.00632,                 2.8245,                 3.2181,                 1.2041,             0.00081247,             0.00081247,             0.00081247
                     45,                 1.9417,                 1.3785,                0.96632,                0.28507,                 0.1069,                0.02148,                0.00677,                 2.8158,                 3.2067,                  1.203,             0.00080428,             0.00080428,             0.00080428
                     46,                 1.9482,                 1.3593,                0.96704,                  0.282,                0.10587,                0.02133,                 0.0063,                 2.8272,                  3.215,                 1.2075,             0.00079595,             0.00079595,             0.00079595
                     47,                 1.7933,                 1.3412,                0.94403,                0.28672,                0.12461,                0.02277,                0.00655,                 2.8199,                 3.1944,                 1.2112,              0.0007875,              0.0007875,              0.0007875
                     48,                 1.7843,                 1.2909,                0.94811,                0.29131,                0.12692,                0.02499,                0.00728,                 2.7783,                 3.1523,                 1.2016,             0.00077893,             0.00077893,             0.00077893
                     49,                  1.806,                 1.2332,                 0.9308,                0.29397,                 0.1251,                0.02582,                0.00763,                 2.7635,                 3.2487,                 1.1991,             0.00077023,             0.00077023,             0.00077023
                     50,                 1.8474,                  1.329,                0.93483,                0.53539,                0.09725,                 0.0224,                0.00708,                 2.8015,                 3.3292,                 1.2074,             0.00076142,             0.00076142,             0.00076142
                     51,                 1.7772,                 1.3313,                0.95865,                0.28242,                0.11722,                0.02279,                0.00712,                   2.78,                 3.2967,                 1.2167,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.8359,                 1.3061,                0.92692,                0.28396,                0.10746,                0.02253,                0.00763,                  2.791,                 3.2419,                 1.2224,             0.00074347,             0.00074347,             0.00074347
                     53,                 1.8221,                 1.2768,                0.95329,                0.27768,                0.08367,                0.01875,                0.00627,                 2.8545,                 3.4264,                 1.2363,             0.00073433,             0.00073433,             0.00073433
                     54,                 1.8156,                 1.3633,                0.96039,                0.27311,                0.07641,                0.01541,                 0.0051,                 2.9133,                 3.6447,                 1.2334,             0.00072509,             0.00072509,             0.00072509
                     55,                 1.7478,                 1.2439,                0.92767,                0.27482,                 0.1203,                0.01642,                0.00551,                 2.8577,                 3.6388,                 1.2194,             0.00071576,             0.00071576,             0.00071576
                     56,                 1.7996,                 1.2284,                0.93479,                 0.2826,                0.10819,                0.02106,                0.00708,                 2.7697,                 3.3825,                 1.2041,             0.00070633,             0.00070633,             0.00070633
                     57,                 1.8308,                 1.2612,                0.95711,                0.29096,                0.10492,                0.02444,                0.00807,                 2.7697,                 3.3104,                 1.2072,             0.00069682,             0.00069682,             0.00069682
                     58,                 1.7931,                 1.2987,                 0.9436,                0.28747,                0.09798,                0.02329,                0.00766,                 2.7983,                 3.3492,                 1.2192,             0.00068722,             0.00068722,             0.00068722
                     59,                 1.7234,                 1.2144,                 0.9444,                  0.283,                0.09147,                0.02143,                0.00726,                 2.8217,                 3.4325,                 1.2293,             0.00067754,             0.00067754,             0.00067754
                     60,                 1.6924,                 1.1846,                0.92506,                0.28487,                0.10083,                0.02105,                0.00747,                 2.8131,                 3.4908,                 1.2284,             0.00066779,             0.00066779,             0.00066779
                     61,                 1.7346,                  1.198,                0.91643,                0.28353,                0.10178,                 0.0202,                0.00732,                 2.7819,                 3.5251,                 1.2209,             0.00065796,             0.00065796,             0.00065796
                     62,                 1.7287,                 1.2075,                 0.9389,                0.27956,                0.10999,                0.01953,                0.00716,                 2.8056,                 3.5728,                 1.2158,             0.00064807,             0.00064807,             0.00064807
                     63,                 1.7297,                 1.2245,                 0.9428,                 0.2803,                0.10115,                0.02115,                  0.007,                 2.8284,                 3.4347,                 1.2155,             0.00063812,             0.00063812,             0.00063812
                     64,                 1.7127,                 1.1868,                0.93182,                0.53543,                0.09462,                0.02203,                0.00736,                 2.8195,                 3.2776,                 1.2068,              0.0006281,              0.0006281,              0.0006281
                     65,                 1.6872,                 1.1635,                0.90916,                0.53755,                0.09198,                0.02183,                0.00768,                 2.7821,                  3.222,                 1.1998,             0.00061803,             0.00061803,             0.00061803
                     66,                 1.6583,                 1.1563,                0.91848,                0.54075,                0.08704,                0.02148,                 0.0078,                 2.8194,                 3.2462,                 1.2145,             0.00060792,             0.00060792,             0.00060792
                     67,                 1.6556,                 1.1739,                0.93875,                0.28865,                0.09557,                0.02086,                0.00717,                 2.8782,                 3.3852,                 1.2359,             0.00059775,             0.00059775,             0.00059775
                     68,                 1.6558,                 1.1554,                0.91757,                0.29015,                 0.0903,                 0.0198,                0.00693,                 2.9068,                 3.6057,                  1.244,             0.00058755,             0.00058755,             0.00058755
                     69,                 1.6512,                 1.1181,                0.90398,                0.28082,                0.07251,                0.01655,                0.00573,                 2.9941,                 3.8865,                 1.2564,             0.00057731,             0.00057731,             0.00057731
                     70,                 1.7102,                 1.2102,                0.92725,                0.27886,                0.09661,                0.01672,                 0.0061,                 2.9783,                 3.8375,                 1.2423,             0.00056704,             0.00056704,             0.00056704
                     71,                 1.6167,                 1.1136,                0.90907,                0.27848,                0.09036,                0.01933,                0.00661,                 2.9262,                 3.7184,                 1.2225,             0.00055674,             0.00055674,             0.00055674
                     72,                 1.7007,                 1.1616,                0.94199,                0.28042,                0.07588,                0.02089,                0.00694,                   2.87,                 3.5449,                 1.2103,             0.00054642,             0.00054642,             0.00054642
                     73,                 1.6583,                 1.0723,                0.92261,                0.28825,                0.08577,                0.02253,                0.00772,                 2.8556,                 3.3801,                 1.2025,             0.00053608,             0.00053608,             0.00053608
                     74,                 1.7335,                 1.1504,                0.93392,                0.29713,                0.07524,                0.02746,                0.00838,                 2.8651,                 3.2892,                 1.2033,             0.00052573,             0.00052573,             0.00052573
                     75,                 1.6372,                 1.1287,                0.90526,                0.30414,                0.07261,                0.03065,                 0.0085,                 2.8799,                 3.2909,                 1.1997,             0.00051537,             0.00051537,             0.00051537
                     76,                 1.6371,                  1.097,                0.91918,                0.28919,                0.08346,                0.02758,                0.00761,                 2.9113,                 3.3187,                 1.2062,               0.000505,               0.000505,               0.000505
                     77,                 1.6909,                 1.1237,                0.92013,                0.28869,                0.09829,                0.02441,                0.00703,                 2.9235,                 3.3909,                 1.2069,             0.00049463,             0.00049463,             0.00049463
                     78,                 1.6585,                 1.1293,                0.92435,                0.28378,                0.09103,                0.02288,                0.00699,                 2.9078,                 3.4061,                 1.2016,             0.00048427,             0.00048427,             0.00048427
                     79,                 1.7207,                 1.1731,                0.93462,                0.28892,                0.10651,                0.02495,                0.00745,                 2.8686,                 3.3822,                 1.1937,             0.00047392,             0.00047392,             0.00047392
                     80,                  1.606,                 1.0805,                0.90718,                0.28916,                0.08904,                0.02433,                0.00771,                 2.8232,                 3.3635,                 1.1862,             0.00046358,             0.00046358,             0.00046358
