                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1271,                 1.5384,                 1.0078,                0.42843,                 0.2409,                0.14509,                0.05027,                 2.2967,                 2.1885,                 1.0961,               0.031607,               0.000607,               0.000607
                     36,                 2.1694,                 1.5644,                 1.0082,                0.41623,                0.27941,                0.16032,                0.05753,                 2.2822,                 2.0681,                 1.0859,                0.02962,             0.00061973,             0.00061973
                     37,                 2.0639,                 1.6286,                 1.0155,                0.45535,                0.25869,                0.16567,                0.05901,                 2.2556,                 2.2365,                 1.1067,               0.027632,             0.00063206,             0.00063206
                     38,                 1.9675,                 1.4648,                0.99108,                0.45209,                0.28374,                0.18395,                0.06985,                 2.2088,                 2.2686,                 1.1096,               0.025644,               0.000644,               0.000644
                     39,                 2.0765,                 1.5144,                0.99099,                0.47904,                0.28299,                0.19137,                0.07264,                 2.2001,                 2.1162,                 1.1116,               0.023656,             0.00065553,             0.00065553
                     40,                 1.9675,                 1.4593,                0.96951,                0.43129,                0.33824,                0.16507,                0.05685,                 2.2565,                 2.2108,                  1.123,               0.021667,             0.00066664,             0.00066664
                     41,                 2.0976,                 1.5101,                0.97277,                0.40182,                0.34451,                 0.1374,                0.04682,                 2.3425,                 2.3125,                 1.1413,               0.019677,             0.00067734,             0.00067734
                     42,                 2.0745,                 1.5454,                 1.0579,                0.50363,                 0.2493,                0.19973,                0.07199,                 2.2757,                 1.9404,                 1.1125,               0.017688,             0.00068761,             0.00068761
                     43,                 2.0538,                 1.5099,                 1.0144,                0.47977,                0.29899,                0.19402,                0.07097,                  2.244,                 1.9811,                 1.0966,               0.015697,             0.00069745,             0.00069745
                     44,                 1.9884,                 1.4657,                0.99372,                0.17294,                 0.3547,                0.17247,                0.06148,                 2.3156,                 2.0548,                 1.1138,               0.013707,             0.00070685,             0.00070685
                     45,                 2.0499,                 1.4803,                0.94851,                0.21062,                 0.3593,                0.20913,                0.07789,                 2.2583,                 2.0488,                 1.0863,               0.011716,             0.00071581,             0.00071581
                     46,                 1.9726,                 1.4432,                0.95636,                0.54716,                0.33824,                0.25644,                0.10137,                   2.15,                 1.8131,                 1.0621,              0.0097243,             0.00072432,             0.00072432
                     47,                 1.9284,                 1.3822,                 0.9644,                0.54285,                0.34529,                0.26375,                0.10975,                 2.1749,                 1.7233,                 1.0709,              0.0077324,             0.00073238,             0.00073238
                     48,                 1.9765,                 1.3867,                0.98877,                0.55236,                0.36654,                 0.2976,                0.12173,                 2.1823,                 1.7733,                 1.0639,                0.00574,             0.00073998,             0.00073998
                     49,                 1.9579,                 1.3459,                0.93903,                0.55871,                0.39338,                0.28146,                0.10229,                 2.2478,                 1.8259,                 1.0551,              0.0037471,             0.00074713,             0.00074713
                     50,                 1.9455,                 1.3995,                0.99145,                0.54561,                0.33055,                 0.2622,                0.08673,                 2.1744,                   1.99,                  1.056,              0.0017538,             0.00075381,             0.00075381
                     51,                 2.0768,                 1.6374,                  1.028,                0.51201,                0.37896,                0.24786,                0.08963,                 2.1947,                 1.8244,                  1.079,              0.0007525,              0.0007525,              0.0007525
                     52,                 2.0133,                 1.4405,                0.97542,                 0.5497,                0.34664,                0.28651,                0.10871,                 2.2571,                   2.12,                 1.0857,             0.00074347,             0.00074347,             0.00074347
                     53,                   2.03,                 1.4493,                0.96846,                0.55299,                0.34822,                0.30013,                0.10754,                 2.2604,                 2.0792,                 1.0786,             0.00073433,             0.00073433,             0.00073433
                     54,                 2.1307,                 1.4318,                0.97557,                0.53792,                0.38957,                0.28922,                0.10683,                 2.1292,                 1.8444,                 1.0534,             0.00072509,             0.00072509,             0.00072509
                     55,                 1.9706,                 1.4843,                0.97211,                0.50309,                0.40558,                0.26131,                 0.0976,                 2.1695,                 2.1258,                 1.0829,             0.00071576,             0.00071576,             0.00071576
                     56,                 2.0028,                 1.3866,                0.97934,                0.51673,                 0.2951,                 0.2432,                0.08438,                 2.1872,                  2.397,                 1.0848,             0.00070633,             0.00070633,             0.00070633
