                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9562,                 1.4416,                0.99052,                0.49959,                0.35315,                0.19906,                0.08065,                 2.0815,                 2.0798,                 1.0194,             0.00087971,             0.00087971,             0.00087971
                     36,                 1.5154,                 1.3396,                0.72777,                0.46008,                0.40689,                 0.2127,                0.07879,                 2.1109,                  1.956,                 1.0268,             0.00087286,             0.00087286,             0.00087286
                     37,                 2.0313,                 1.4332,                0.96879,                0.46994,                0.39253,                0.23495,                0.08454,                  2.105,                 1.8266,                 1.0244,             0.00086584,             0.00086584,             0.00086584
                     38,                 1.9205,                 1.5781,                 1.0071,                0.48928,                0.44617,                0.23567,                0.08305,                 2.0874,                 1.7717,                 1.0145,             0.00085866,             0.00085866,             0.00085866
                     39,                 2.0103,                 1.4491,                0.96086,                0.44115,                0.23322,                0.13904,                0.05066,                 2.2838,                 2.4538,                 1.0253,             0.00085133,             0.00085133,             0.00085133
                     40,                 1.8843,                 1.3562,                0.93702,                 0.4939,                0.39809,                0.18747,                0.06298,                 2.1853,                 2.2188,                 1.0109,             0.00084385,             0.00084385,             0.00084385
                     41,                  1.811,                 1.4057,                0.95809,                0.50102,                0.43752,                0.28297,                0.10792,                  2.029,                 1.7596,                 1.0002,             0.00083622,             0.00083622,             0.00083622
                     42,                 1.7764,                 1.3662,                0.93145,                0.55957,                0.32381,                0.29251,                 0.1028,                 2.0795,                 1.6004,                 1.0166,             0.00082844,             0.00082844,             0.00082844
                     43,                 1.8511,                 1.3694,                0.95334,                0.56153,                0.34189,                0.27641,                0.09581,                 2.1074,                 1.6032,                 1.0097,             0.00082052,             0.00082052,             0.00082052
                     44,                 1.8781,                 1.3881,                0.94751,                 0.5371,                0.37487,                 0.2783,                0.09714,                 2.0926,                 1.6371,                 1.0027,             0.00081247,             0.00081247,             0.00081247
                     45,                   2.02,                 1.4972,                0.94831,                0.51624,                0.36793,                0.27179,                0.10363,                 2.0545,                 1.6442,                 1.0157,             0.00080428,             0.00080428,             0.00080428
                     46,                    1.9,                  1.688,                0.91011,                0.50205,                0.37456,                0.23159,                0.08497,                 2.1245,                 1.7412,                 1.0212,             0.00079595,             0.00079595,             0.00079595
                     47,                 2.1561,                 1.5954,                 1.0232,                0.46808,                  0.306,                0.18339,                0.06409,                 2.2491,                 1.9741,                 1.0234,              0.0007875,              0.0007875,              0.0007875
                     48,                  1.878,                 1.2822,                0.91893,                0.53862,                0.36892,                0.26287,                 0.1001,                 1.9985,                 1.7717,                0.98749,             0.00077893,             0.00077893,             0.00077893
                     49,                 2.1066,                 1.3999,                0.92692,                0.58348,                0.41284,                 0.2865,                0.11414,                 2.0039,                 1.6821,                0.98957,             0.00077023,             0.00077023,             0.00077023
                     50,                 1.4057,                 1.8944,                0.72371,                0.59753,                0.37465,                0.29822,                0.11452,                 2.0332,                 1.7061,                 0.9951,             0.00076142,             0.00076142,             0.00076142
                     51,                 1.8674,                 1.4409,                0.93981,                0.53629,                0.28968,                0.27375,                0.09453,                 2.1197,                 1.7463,                   1.01,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.8767,                 1.3439,                0.91508,                0.53997,                0.31656,                 0.2981,                0.10763,                 2.1074,                 1.6626,                 1.0118,             0.00074347,             0.00074347,             0.00074347
                     53,                 1.8359,                 1.3799,                0.92955,                0.79145,                0.25677,                0.30414,                0.11044,                 2.0773,                 1.6431,                 1.0134,             0.00073433,             0.00073433,             0.00073433
                     54,                 1.8074,                 1.3295,                0.94338,                0.60806,                0.31204,                 0.3444,                0.12229,                 2.0521,                 1.5323,                 1.0009,             0.00072509,             0.00072509,             0.00072509
                     55,                 1.3379,                 1.2517,                0.70011,                0.62268,                0.30571,                0.33429,                0.11145,                 2.0875,                 1.5574,                  1.004,             0.00071576,             0.00071576,             0.00071576
                     56,                 1.9513,                 1.3654,                0.93782,                0.68654,                0.30383,                0.31898,                0.10706,                 2.0941,                 1.6044,                 1.0168,             0.00070633,             0.00070633,             0.00070633
                     57,                  1.904,                 1.4381,                 1.0525,                0.64214,                0.29814,                0.32084,                 0.1098,                 2.0837,                 1.5809,                 1.0288,             0.00069682,             0.00069682,             0.00069682
                     58,                 1.8219,                 1.2247,                0.92297,                0.55256,                0.33623,                 0.3195,                0.10893,                 2.0749,                 1.5745,                 1.0232,             0.00068722,             0.00068722,             0.00068722
                     59,                 1.6698,                 1.2637,                0.90771,                0.55055,                0.33225,                0.29765,                 0.1049,                 2.0819,                 1.6047,                 1.0199,             0.00067754,             0.00067754,             0.00067754
                     60,                 1.6853,                 1.2766,                0.88724,                0.52684,                 0.2712,                 0.2682,                0.10171,                 2.0903,                 1.6194,                 1.0067,             0.00066779,             0.00066779,             0.00066779
                     61,                 1.7264,                 1.1554,                0.89468,                0.64197,                0.27799,                0.29451,                0.11355,                 2.0839,                 1.5764,                 1.0078,             0.00065796,             0.00065796,             0.00065796
                     62,                 1.6948,                  1.192,                0.89484,                0.59416,                0.27744,                0.30656,                0.12075,                 2.0943,                 1.5604,                 1.0133,             0.00064807,             0.00064807,             0.00064807
                     63,                 1.6447,                  1.139,                0.91015,                0.54012,                0.26913,                0.29429,                0.12649,                 2.1237,                 1.6504,                 1.0078,             0.00063812,             0.00063812,             0.00063812
                     64,                 1.6495,                 1.2103,                0.92424,                0.59289,                0.24553,                0.29597,                 0.1242,                 2.1337,                 1.6861,                 1.0077,              0.0006281,              0.0006281,              0.0006281
                     65,                 1.6543,                 1.1416,                0.89305,                0.54409,                0.24243,                0.29056,                0.11995,                 2.1356,                  1.687,                  1.014,             0.00061803,             0.00061803,             0.00061803
                     66,                 1.5262,                 1.1103,                0.91022,                0.54131,                0.23189,                0.28679,                 0.1264,                 2.0751,                 1.6506,                 1.0043,             0.00060792,             0.00060792,             0.00060792
                     67,                 1.6983,                 1.2329,                0.93412,                0.56405,                0.21374,                0.28464,                0.12696,                 2.0573,                 1.6705,                 1.0034,             0.00059775,             0.00059775,             0.00059775
                     68,                   1.18,                 1.0756,                0.66622,                0.54441,                0.22532,                0.28507,                0.12415,                 2.0564,                  1.674,                 1.0019,             0.00058755,             0.00058755,             0.00058755
                     69,                 1.6343,                 1.0842,                0.90367,                0.46105,                0.33371,                0.30416,                0.12453,                 2.0242,                 1.6457,                 1.0054,             0.00057731,             0.00057731,             0.00057731
                     70,                 1.6795,                 1.1698,                0.90508,                 0.5288,                0.30045,                0.31342,                0.12631,                 2.0168,                 1.6044,                 1.0052,             0.00056704,             0.00056704,             0.00056704
                     71,                 1.8221,                 1.1123,                0.90739,                0.53384,                0.31624,                0.32889,                0.13226,                 2.0234,                 1.5504,                 1.0037,             0.00055674,             0.00055674,             0.00055674
                     72,                 1.6796,                  1.206,                0.89282,                0.55858,                0.36854,                0.32364,                0.13212,                 2.0457,                 1.5179,                  1.007,             0.00054642,             0.00054642,             0.00054642
                     73,                 1.7735,                 1.3471,                0.97667,                0.59101,                  0.397,                0.34508,                0.13537,                 2.0593,                 1.5226,                 1.0148,             0.00053608,             0.00053608,             0.00053608
                     74,                  1.625,                 1.0468,                0.92449,                0.57734,                0.40517,                0.34507,                0.13223,                  2.076,                 1.5322,                 1.0162,             0.00052573,             0.00052573,             0.00052573
                     75,                 1.6116,                 1.0326,                0.92176,                0.55952,                0.34256,                0.32728,                0.12769,                 2.0802,                   1.51,                 1.0093,             0.00051537,             0.00051537,             0.00051537
                     76,                  1.173,                0.94835,                0.67765,                 0.8375,                0.30119,                0.35439,                0.13795,                 2.0692,                 1.4775,                 1.0122,               0.000505,               0.000505,               0.000505
                     77,                 1.5606,                 1.0713,                0.92928,                0.82319,                0.29116,                0.35079,                0.13084,                 2.1036,                 1.5048,                 1.0241,             0.00049463,             0.00049463,             0.00049463
                     78,                 1.5889,                 1.0715,                0.87893,                0.79437,                0.30667,                0.33069,                 0.1252,                  2.076,                 1.5031,                 1.0162,             0.00048427,             0.00048427,             0.00048427
                     79,                  1.518,                 1.0229,                 0.8858,                0.59411,                0.35729,                0.31874,                0.11955,                 2.0608,                 1.5655,                 1.0114,             0.00047392,             0.00047392,             0.00047392
                     80,                 1.5116,                 1.0551,                0.87672,                0.58209,                0.35367,                0.30839,                  0.117,                 2.0324,                 1.5997,                 1.0084,             0.00046358,             0.00046358,             0.00046358
                     81,                 1.6733,                 1.1212,                0.86124,                0.58785,                0.38633,                0.33254,                0.12701,                 2.0256,                 1.5689,                 1.0132,             0.00045326,             0.00045326,             0.00045326
